Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season,Production
12/18/2022,21,22,Wind,352,Sunday,December,Winter,11400
1/29/2024,14,15,Wind,29,Monday,January,Winter,7917
8/1/2024,15,16,Solar,214,Thursday,August,Summer,8835
11/10/2020,1,2,Wind,315,Tuesday,November,Fall,989
12/19/2022,1,2,Wind,353,Monday,December,Winter,12526
10/18/2024,13,14,Solar,292,Friday,October,Fall,4855
4/10/2020,17,18,Solar,101,Friday,April,Spring,3692
1/25/2023,0,1,Wind,25,Wednesday,January,Winter,2156
12/12/2021,12,13,Wind,346,Sunday,December,Winter,5813
10/11/2020,13,14,Wind,285,Sunday,October,Fall,6106
1/8/2024,23,0,Wind,8,Monday,January,Winter,5515
1/8/2020,18,19,Wind,8,Wednesday,January,Winter,2785
1/29/2022,20,21,Wind,29,Saturday,January,Winter,8498
6/2/2021,15,16,Solar,153,Wednesday,June,Summer,5561
6/11/2024,7,8,Wind,163,Tuesday,June,Summer,2328
6/5/2020,21,22,Wind,157,Friday,June,Summer,6664
5/2/2021,13,14,Solar,122,Sunday,May,Spring,4993
1/13/2022,0,1,Wind,13,Thursday,January,Winter,3276
7/24/2020,3,4,Wind,206,Friday,July,Summer,1739
8/29/2024,5,6,Wind,242,Thursday,August,Summer,2083
1/3/2024,0,1,Wind,3,Wednesday,January,Winter,17272
4/2/2024,2,3,Wind,93,Tuesday,April,Spring,12285
7/29/2020,16,17,Solar,211,Wednesday,July,Summer,3480
11/5/2024,6,7,Wind,310,Tuesday,November,Fall,1690
10/24/2022,8,9,Wind,297,Monday,October,Fall,11508
2/27/2023,10,11,Wind,58,Monday,February,Winter,15692
4/2/2020,15,16,Solar,93,Thursday,April,Spring,4169
5/13/2020,3,4,Wind,134,Wednesday,May,Spring,3174
11/22/2023,14,15,Wind,326,Wednesday,November,Fall,7314
9/11/2021,11,12,Solar,254,Saturday,September,Fall,4969
4/7/2025,15,16,Solar,97,Monday,April,Spring,9862
7/27/2025,22,23,Wind,208,Sunday,July,Summer,3862
3/11/2021,13,14,Wind,70,Thursday,March,Spring,16144
4/30/2022,16,17,Solar,120,Saturday,April,Spring,8188
1/19/2023,23,0,Wind,19,Thursday,January,Winter,1710
9/11/2022,4,5,Wind,254,Sunday,September,Fall,472
9/25/2021,16,17,Solar,268,Saturday,September,Fall,3402
8/8/2020,12,13,Solar,221,Saturday,August,Summer,3996
6/8/2021,1,2,Wind,159,Tuesday,June,Summer,1148
6/10/2024,21,22,Wind,162,Monday,June,Summer,4062
6/18/2020,0,1,Wind,170,Thursday,June,Summer,1443
5/30/2023,17,18,Wind,150,Tuesday,May,Spring,13363
2/17/2022,1,2,Wind,48,Thursday,February,Winter,15609
5/11/2022,19,20,Wind,131,Wednesday,May,Spring,8878
5/7/2024,7,8,Wind,128,Tuesday,May,Spring,2974
11/22/2025,12,13,Wind,326,Saturday,November,Fall,12324
4/9/2021,21,22,Wind,99,Friday,April,Spring,5279
12/24/2021,11,12,Wind,358,Friday,December,Winter,3872
3/11/2023,12,13,Wind,70,Saturday,March,Spring,6406
8/13/2021,13,14,Solar,225,Friday,August,Summer,5323
2/1/2021,15,16,Wind,32,Monday,February,Winter,7166
9/11/2023,13,14,Solar,254,Monday,September,Fall,7117
7/1/2020,13,14,Wind,183,Wednesday,July,Summer,5874
3/10/2025,9,10,Solar,69,Monday,March,Spring,4807
6/23/2023,15,16,Solar,174,Friday,June,Summer,7976
2/9/2023,13,14,Solar,40,Thursday,February,Winter,5168
5/24/2020,0,1,Wind,145,Sunday,May,Spring,4384
7/26/2021,23,0,Wind,207,Monday,July,Summer,1465
9/28/2020,6,7,Wind,272,Monday,September,Fall,3962
8/25/2021,0,1,Wind,237,Wednesday,August,Summer,6786
12/16/2021,14,15,Wind,350,Thursday,December,Winter,5553
3/11/2022,22,23,Wind,70,Friday,March,Spring,10557
4/13/2020,17,18,Wind,104,Monday,April,Spring,10961
10/4/2022,23,0,Wind,277,Tuesday,October,Fall,2160
6/12/2025,1,2,Wind,163,Thursday,June,Summer,8382
8/18/2022,10,11,Solar,230,Thursday,August,Summer,3688
10/25/2025,18,19,Wind,298,Saturday,October,Fall,8209
10/24/2023,22,23,Wind,297,Tuesday,October,Fall,6448
10/13/2021,18,19,Wind,286,Wednesday,October,Fall,2194
7/19/2025,11,12,Wind,200,Saturday,July,Summer,10173
6/1/2021,5,6,Wind,152,Tuesday,June,Summer,5221
6/30/2022,22,23,Wind,181,Thursday,June,Summer,2181
1/4/2020,5,6,Wind,4,Saturday,January,Winter,3143
4/23/2020,3,4,Wind,114,Thursday,April,Spring,2541
9/19/2021,9,10,Wind,262,Sunday,September,Fall,4133
2/1/2021,5,6,Wind,32,Monday,February,Winter,5020
7/8/2022,8,9,Wind,189,Friday,July,Summer,3748
7/8/2025,13,14,Solar,189,Tuesday,July,Summer,13125
7/7/2021,14,15,Solar,188,Wednesday,July,Summer,5096
1/22/2020,15,16,Wind,22,Wednesday,January,Winter,4074
6/28/2025,17,18,Solar,179,Saturday,June,Summer,7681
2/25/2021,3,4,Wind,56,Thursday,February,Winter,4820
5/22/2021,17,18,Wind,142,Saturday,May,Spring,10961
2/16/2022,5,6,Wind,47,Wednesday,February,Winter,14822
6/22/2023,4,5,Wind,173,Thursday,June,Summer,3376
6/18/2022,22,23,Wind,169,Saturday,June,Summer,8199
6/8/2022,15,16,Wind,159,Wednesday,June,Summer,10512
12/1/2022,3,4,Wind,335,Thursday,December,Winter,3869
4/17/2023,16,17,Wind,107,Monday,April,Spring,10404
12/9/2020,9,10,Wind,344,Wednesday,December,Winter,3334
2/7/2023,18,19,Wind,38,Tuesday,February,Winter,5042
